"","Method","n","Trials","Parameter_Pov","Lower_Pov","Upper_Pov","Population_Pov","Parameter_Med","Lower_Med","Upper_Med","Population_Med","pov_bound","med_bound"
"1","srs_50_1","50",1,0.18,0.0697066,0.2902934,0.149803,3463.33,2298.54,4628.12,4728.48,0.1102934,1164.79
"2","srs_50_2","50",2,0.1,0.0138753,0.1861247,0.149803,4234.21,2808.98,5659.44,4728.48,0.0861247,1425.23
"3","srs_50_3","50",3,0.08,0.0021166,0.1578834,0.149803,5704.06,3587.77,7820.34,4728.48,0.0778834,2116.285
"4","srs_50_4","50",4,0.16,0.0547539,0.2652461,0.149803,5125.85,3641.89,6609.81,4728.48,0.1052461,1483.96
"5","srs_50_5","50",5,0.24,0.117392,0.362608,0.149803,4663.91,3497.85,5829.96,4728.48,0.122608,1166.055
"6","srs_100_1","100",1,0.12,0.0551957,0.1848043,0.149803,4539,3293.21,5784.78,4728.48,0.0648043,1245.785
"7","srs_100_2","100",2,0.11,0.0476031,0.1723969,0.149803,4403.43,3657.96,5148.89,4728.48,0.0623969,745.465
"8","srs_100_3","100",3,0.15,0.0787924,0.2212076,0.149803,5561.33,4444.17,6678.49,4728.48,0.0712076,1117.16
"9","srs_100_4","100",4,0.17,0.0950908,0.2449092,0.149803,4697.07,3790.53,5603.6,4728.48,0.0749092,906.535
"10","srs_100_5","100",5,0.13,0.0629339,0.1970661,0.149803,4962.89,3820.55,6105.22,4728.48,0.0670661,1142.335
"11","srs_1000_1","1000",1,0.131,0.1100523,0.1519477,0.149803,5002.96,4644.89,5361.02,4728.48,0.0209477,358.065
"12","srs_1000_2","1000",2,0.163,0.1400677,0.1859323,0.149803,5181.19,4358.62,6003.76,4728.48,0.0229323,822.57
"13","srs_1000_3","1000",3,0.144,0.1222023,0.1657977,0.149803,4743.26,4431,5055.51,4728.48,0.0217977,312.255
"14","srs_1000_4","1000",4,0.143,0.1212655,0.1647345,0.149803,4786.52,4455.14,5117.9,4728.48,0.0217345,331.38
"15","srs_1000_5","1000",5,0.133,0.1119173,0.1540827,0.149803,4717.03,4438.22,4995.84,4728.48,0.0210827,278.81
"16","srs_5000_1","5000",1,0.1528,0.1428238,0.1627762,0.149803,4649.78,4515.11,4784.45,4728.48,0.0099762,134.67
"17","srs_5000_2","5000",2,0.1514,0.1414614,0.1613386,0.149803,4642.18,4484.63,4799.73,4728.48,0.00993860000000001,157.55
"18","srs_5000_3","5000",3,0.151,0.1410722,0.1609278,0.149803,4786.08,4624.21,4947.96,4728.48,0.0099278,161.875
"19","srs_5000_4","5000",4,0.1498,0.1399047,0.1596953,0.149803,4833.54,4685.15,4981.92,4728.48,0.00989530000000001,148.385
"20","srs_5000_5","5000",5,0.1588,0.1486659,0.1689341,0.149803,4684.82,4539.18,4830.45,4728.48,0.0101341,145.635
"21","srs_783_1","783",1,0.1507024,0.1255889,0.1758159,0.149803,4565.18,4258.5,4871.85,4728.48,0.0251135,306.675
"22","srs_783_2","783",2,0.1366539,0.1125426,0.1607652,0.149803,4660.69,4311.18,5010.19,4728.48,0.0241113,349.505
"23","srs_783_3","783",3,0.1430396,0.1184628,0.1676164,0.149803,4589.49,4281.04,4897.94,4728.48,0.0245768,308.45
"24","srs_783_4","783",4,0.137931,0.1137252,0.1621368,0.149803,4693.04,4347.68,5038.41,4728.48,0.0242058,345.365
"25","srs_783_5","783",5,0.1455939,0.1208356,0.1703522,0.149803,4886.31,4512.98,5259.64,4728.48,0.0247583,373.33
